id,Product_name,Rating,maincateg,platform,price1,Price,Discount,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1,EffectivePrice
16695,Fashionable & Comfortable Bellies For Women  (Brown),3.9,Women,Flipkart,698,999,30.13,38,7,17,9,6,3,3,0,698.0013085937501
5120,Combo Pack of 4 Casual Shoes Sneakers For Men  (Multicolor),3.8,Men,Flipkart,999,1999,50.03,531,69,264,92,73,29,73,1,998.9003125
18391,Cilia Mode Leo Sneakers For Women  (White),4.4,Women,Flipkart,2749,4999,45.01,17,4,11,3,2,1,0,1,2748.95015625
495,Men Black Sports Sandal,4.2,Men,Flipkart,518,724,15.85,46413,6229,1045,12416,5352,701,4595,1,609.24599609375
16408,Men Green Sports Sandal,3.9,Men,Flipkart,1379,2299,40.02,77,3,35,21,7,7,7,1,1378.94015625
2692,Women Pink Flats Sandal,4.1,Women,Flipkart,359,499,28.06,274,25,153,49,34,15,23,0,358.98060546875
3236,Women Navy Heels Sandal,4.0,Women,Flipkart,499,999,50.05,249,31,130,52,27,9,28,1,499.0005078125
14633,Women Blue Wedges Sandal,3.9,Women,Flipkart,209,1299,83.91,121,17,63,25,14,9,12,0,209.00906250000003
1872,Sneakers For Women  (Pink),4.2,Women,Flipkart,549,999,45.05,191,30,120,25,31,7,12,1,548.9505078125001
1668,"Men Black, Beige Sandal",4.1,Men,Flipkart,809,899,10.01,36126,5028,18688,9899,3709,1272,2558,0,809.01009765625
12634,TEMPO Men's Combo Pack of 3 Synthetic Loafers & 2 Sneakers - Multicolour,3.3,Men,Amazon,999,999,0.0,222,147,26,4,18,15,37,1,999.0
19065,Women Gold Heels Sandal,4.0,Women,Flipkart,599,1299,53.89,22,3,12,3,4,1,2,1,598.96890625
17455,Flip Flops,4.1,Women,Flipkart,299,599,50.08,41,9,19,13,5,3,1,1,299.02078125
7526,Slippers,4.4,Women,Flipkart,599,1199,50.04,101,16,68,20,5,5,3,1,599.020390625
15555,adilette CF+ logo Slides,4.5,Men,Flipkart,1979,3599,45.01,141,12,98,25,8,4,6,1,1979.09015625
18031,"Men Black, Blue Sports Sandal",4.2,Men,Flipkart,999,1999,50.03,732,99,378,230,70,24,30,1,998.9003125
9354,Men Tan Sandal,4.0,Men,Flipkart,379,999,62.06,138,24,68,30,16,14,10,0,379.02058593749996
17732,Perfect Stylish Girls High Ankle Boots For Women  (Pink),4.2,Women,Flipkart,399,999,60.06,9305,1619,5660,1711,921,319,694,1,399.0005859375
4549,Perfect Stylish Girls Casual Shoes Sneakers For Women  (White),3.9,Women,Flipkart,399,999,60.06,1353,202,698,258,174,77,146,0,399.0005859375
12336,Women Beige Heels Sandal,4.0,,Flipkart,499,999,50.05,,,28,9,10,2,5,0,499.0005078125
2917,170 Smart Grey Lace-Ups Casuals for Men Sneakers For Men  (Grey),4.0,Men,Flipkart,236,499,52.71,26934,2952,14756,4291,3068,1693,3126,1,235.977109375
7379,Women Multicolor Flats Sandal,3.6,Women,Flipkart,175,499,64.93,569,63,249,97,74,49,100,1,174.99929687500003
10536,Stylish Flat Mules for women Bellies For Women  (Tan),4.0,Women,Flipkart,225,699,67.81,2270,318,1117,536,305,130,182,1,225.008125
18886,crocs Unisex's Clogs,4.7,Women,Amazon,1596,1607,0.68,8,4,0,0,0,30,70,0,1596.0723999023437
2193,GO WALK JOY-CENTERPIECE Walking Shoes For Women  (Navy),4.4,Women,Flipkart,3009,4299,30.01,215,14,142,43,15,3,12,1,3008.870078125
15609,flip-flops slipper for men Flip Flops,4.0,Men,Flipkart,199,599,66.78,3615,299,2155,441,352,206,461,1,198.98781250000002
17976,Flip Flops,4.1,Women,Flipkart,249,399,37.59,33,6,17,9,2,4,1,0,249.0158984375
19308,Boots For Women  (Brown),4.2,Women,Flipkart,599,999,40.04,10,0,6,2,1,0,1,1,599.000390625
970,Intraflux M Running Shoes For Men  (Grey),4.1,Men,Flipkart,2165,3880,45.01,216,31,176,44,21,8,1,1,2133.6120312499997
13094,Women Black Flats Sandal,4.1,Women,Flipkart,831,1695,50.97,14,0,7,4,1,1,1,1,831.058515625
17412,Trendy Look Up Jeans And Kurta Pajama/Synthetic Ethnic Shoes For Men Ethnic Mule For Men  (Black),3.8,Men,Flipkart,499,999,50.05,21,4,13,2,0,0,6,0,499.0005078125
10916,Jutis For Women  (Multicolor),4.1,Women,Flipkart,399,999,60.06,180,23,100,32,22,10,16,0,399.0005859375
17709,Fila Men's Bryant Sneakers,3.7,Men,Amazon,564,1597,64.68,79,40,15,11,10,20,44,1,564.0603906250001
10946,Jutis For Women  (Pink),3.9,Women,Flipkart,199,499,60.12,369,46,197,50,54,25,43,0,199.0012109375
10528,"Bouncer-01 Running shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight blue shoes for running, walking, gym, trekking, hiking & party Running Shoes Running Shoes For Men  (Blue)",4.1,Men,Flipkart,759,999,24.02,11780,1748,6343,2501,1268,644,1024,1,759.0401953125
14244,Walking Shoes For Men  (Grey),4.0,Men,Flipkart,782,999,21.72,3180,475,1596,705,380,162,337,1,782.01720703125
10780,Canvas Shoes For Men  (Red),4.0,Men,Flipkart,658,999,34.13,1695,266,891,359,204,65,176,0,658.0412890625
9992,FASHION SHOE Loafers For Men  (Brown),4.3,Men,Flipkart,400,999,59.96,18,3,11,5,0,1,1,1,399.999609375
20804,"Men Brown, Orange Sports Sandal",4.1,,Flipkart,819,999,18.02,26640,3667,14148,,,1113,2094,1,818.9801953125
2851,Women Black Heels Sandal,4.0,Women,Flipkart,468,1499,68.78,550,103,283,120,72,27,48,0,467.9878125
10752,"Women's/Ladies/Female/Girls Lightweight Comfortable, Casualwear Black High Ankle Length Lace-Up Boots Boots For Women Boots For Women  (Black)",4.4,Women,Flipkart,525,999,47.45,5,0,3,1,1,0,0,0,524.9744921875
4430,Slippers,3.6,Men,Flipkart,219,349,37.25,16140,1926,6538,2868,2580,1442,2712,0,218.9975
19439,Women Yellow Flats Sandal,4.5,Women,Flipkart,899,1499,40.03,69,5,42,21,5,2,0,1,898.9503125
1371,Women Red Heels Sandal,4.2,Women,Flipkart,1599,1699,5.89,1399,263,884,240,119,36,120,0,1598.92890625
14621,Boots For Women  (Black),4.2,Women,Flipkart,429,999,57.06,366,84,223,67,39,11,26,1,428.9705859375
20734,Party Wear For Men  (Tan),3.7,Men,Flipkart,499,799,37.55,19,1,9,3,2,2,3,0,498.9755078125
8442,"Women Girl's Fashion Printed Comfortable Soft Slip On Winter Bellies For Women  (Black, Blue)",4.2,Women,Flipkart,246,559,55.99,290,48,157,69,35,14,15,1,246.01589843750003
4051,Shoes for Women Sneakers For Women  (Blue),4.0,Women,Flipkart,347,499,30.46,4147,688,2175,864,538,204,366,1,347.004609375
10684,Canvas Shoes For Men  (Blue),4.0,Men,Flipkart,302,1799,83.21,60,11,29,13,9,6,3,0,302.05218749999995
6840,Jutis Bellies For Women  (Brown),3.4,Women,Flipkart,315,999,68.47,26,4,9,7,1,3,6,0,314.98468749999995
6412,Flip Flops,4.0,Women,Flipkart,220,499,55.91,656,80,368,105,75,40,68,0,220.0091015625
3239,DD66_4 Jutis For Women  (White),4.5,Women,Flipkart,1499,2500,40.04,13,1,11,0,1,0,1,0,1499.0
16567,Slippers,4.3,Women,Flipkart,499,999,50.05,96,15,61,20,8,4,3,1,499.0005078125
12960,"Men Tan, Beige, Yellow Sandal",4.2,Men,Flipkart,389,999,61.06,19,2,12,2,3,0,2,0,389.01058593749997
5687,169 Smart Sky Blue Lace-Ups Casuals for Men Sneakers For Men  (Blue),4.0,Men,Flipkart,236,499,52.71,26934,2952,14756,4291,3068,1693,3126,1,235.977109375
6792,Bellies For Women  (Tan),4.0,Women,Flipkart,295,599,50.75,85,10,46,19,7,3,10,1,295.0075
10908,Jungle Boots- Oil Stain & Water Resistant- Extra Cushion InnerSole -Light Weight Trekking Shoes Boots For Men (OliveGreen) Boots For Men  (Multicolor),4.3,Men,Flipkart,999,1399,28.59,4881,943,2862,1159,445,169,246,1,999.0258984375
16556,Flip Flops,3.4,Women,Flipkart,330,499,33.87,307,33,117,50,38,32,70,0,329.9887109375
14352,SYTHETIC Leather Punjabi Jutti Black Mojaris For Men  (Black),3.9,Men,Flipkart,399,999,60.06,19,1,10,4,1,1,3,0,399.0005859375
13313,RC3532 003 Lace Up For Men  (Brown),4.1,Men,Flipkart,1935,4299,54.99,219,27,112,61,16,14,16,1,1934.9798437499999
5343,Kolhapuri Juttis Slip On For Men  (Tan),4.1,Men,Flipkart,999,1999,50.03,199,28,105,52,18,9,15,1,998.9003125
20758,Flip Flops,4.1,Men,Flipkart,249,890,72.02,27,3,14,7,2,4,0,0,249.02203125000005
7068,Slippers,3.6,Men,Flipkart,599,1299,53.89,85,10,41,13,6,7,18,0,598.96890625
6597,Slides,3.9,Men,Flipkart,300,1500,80.0,,,,,10,5,9,1,300.0
15941,Men's Formal Leather Shoes Slip On For Men  (White),4.1,Men,Flipkart,999,1999,50.03,14,1,8,2,2,1,1,1,998.9003125
6824,Men Black Casual Sandal,3.9,Men,Flipkart,299,499,40.08,192,37,103,31,23,14,21,0,299.00078125
1317,Women Red Heels Sandal,4.1,Women,Flipkart,546,999,45.35,654,104,369,125,69,32,59,0,545.953515625
770,"Sneakers For Men  (Yellow, White)",4.1,Men,Flipkart,603,1014,42.89,214,41,150,48,30,17,3,1,579.0953906249999
5575,Women Copper Flats Sandal,4.1,,Flipkart,349,999,65.07,,27,,,22,5,15,1,348.950703125
3487,GO WALK 5 Walking Shoes For Women  (Navy),4.7,Women,Flipkart,4239,5299,20.0,12,1,9,2,1,0,0,1,4239.2
10577,Stylish Combo Pack of 2 Shoes Sneakers For Women  (Multicolor),3.8,Women,Flipkart,630,998,36.87,66,13,33,9,11,4,9,1,630.0374218750001
18413,Mojaris Jutis For Men  (Brown),4.3,Men,Flipkart,399,499,20.04,12,2,8,2,1,0,1,0,399.000390625
4211,"Women's/Ladies/Female/Girls Trendy Fashionable Lightweight Comfortable Partywear, Casual wear Lace-Up Shoes Sneakers For Women  (White)",4.3,Women,Flipkart,380,999,61.96,350,30,213,71,33,13,20,1,380.01960937499996
2631,Men Brown Casual Sandal,4.3,Men,Flipkart,799,1999,60.03,55,11,30,17,6,1,1,1,799.0003125000001
17504,Ankle Length & High Ankle Length Boots For Women  (Tan),3.6,Women,Flipkart,429,999,57.06,91,14,38,20,9,13,14,0,428.9705859375
12827,Men Orange Sandal,4.0,Men,Flipkart,398,999,60.16,14825,1945,7950,2968,1848,755,1304,0,398.0016015625
5607,Slides,3.6,Women,Flipkart,259,349,25.79,211,32,84,47,28,17,35,0,258.992900390625
1106,Women Beige Flats Sandal,4.0,Women,Flipkart,316,999,68.37,289,42,150,63,29,18,29,1,315.983671875
10686,Trenzo II IDP Running Shoes For Women  (Grey),4.1,Women,Flipkart,1709,2999,43.01,10146,1398,5463,2577,1003,348,755,1,1709.13015625
13425,Fashionable Boots for Womens Boots For Women  (Black),4.3,Women,Flipkart,549,999,45.05,54,9,32,13,5,2,2,0,548.9505078125001
14723,Slippers,3.7,Men,Flipkart,229,499,54.11,336,48,160,46,49,30,51,0,228.99109375
10063,Slip On For Men  (Brown),4.0,Men,Flipkart,629,699,10.01,175,26,87,45,17,11,15,1,629.0300976562501
12372,Men Green Sports Sandal,4.6,Men,Flipkart,1539,2799,45.02,23,2,16,4,3,0,0,1,1538.89015625
19486,Mojaris For Men  (Blue),4.2,Men,Flipkart,474,999,52.55,50,5,33,5,6,2,4,0,474.0255078125
3312,Women Black Flats Sandal,4.1,Women,Flipkart,749,999,25.03,375,50,177,107,53,16,22,1,748.95029296875
4986,Girls Stylish Cut Work Design Sneakers For Women  (White),4.0,Women,Flipkart,349,499,30.06,1573,203,785,340,226,92,130,1,349.00060546875
5576,Combo Pack Of 2 Pairs Of Women Slippers Slippers,3.6,Women,Flipkart,299,999,70.07,2079,272,836,396,314,194,339,1,299.000703125
180,Derby For Men  (Brown),3.9,Men,Flipkart,458,1624,79.6,134,20,6,49,20,5,16,1,331.2960156250001
5097,Women Pink Bellies Sandal,4.1,Women,Flipkart,298,499,40.28,229,26,118,55,28,14,14,1,298.0028125
3610,Bellies For Women  (Tan),3.7,Women,Flipkart,499,999,50.05,175,33,82,26,24,16,27,1,499.0005078125
7568,Court Vision LowShoe Casuals For Women  (White),4.3,Women,Flipkart,3863,4995,22.66,37,5,24,6,2,1,3,1,3863.13296875
4262,Slippers,3.6,,Flipkart,213,249,14.46,,,,,466,281,476,1,212.994599609375
9638,ZAPATOZ Women White Solid PU Medium-Top Sports Shoes,4.7,Women,Amazon,599,599,0.0,4,2,0,0,0,30,70,1,599.0
3704,Jutis For Women  (Gold),3.8,Women,Flipkart,279,1299,78.52,392,51,208,49,47,22,66,0,279.02523437499997
16664,Women Blue Wedges Sandal,4.0,Women,Flipkart,131,399,67.17,375,56,196,69,43,26,38,0,130.99169921875
9235,"807 Boot Shoes For , Womens wear Boots For Women  (Grey)",3.8,Women,Flipkart,629,999,37.04,4,1,2,1,0,0,1,1,628.9703906249999
5162,"SC0620G Canvas Shoes For Men  (Olive, Orange)",4.2,Men,Flipkart,989,1299,23.86,5228,807,3011,1188,512,180,337,1,989.05859375
18320,Women Black Wedges Sandal,3.9,Women,Flipkart,499,999,50.05,476,65,218,119,63,33,42,1,499.0005078125
5390,Women Multicolor Sports Sandal,3.8,Women,Flipkart,249,499,50.1,4,1,1,2,0,1,0,0,249.001015625
7609,Women Grey Heels Sandal,4.3,Women,Flipkart,605,1299,53.43,415,61,253,89,48,10,15,0,604.944296875
17816,Loafers For Men  (Tan),3.7,Men,Flipkart,451,510,11.57,15280,2056,7208,2435,2149,1160,2328,1,450.9930029296875
9188,Boots For Women  (Grey),4.0,Women,Flipkart,399,1999,80.04,1689,332,894,341,198,84,172,0,399.00031250000006
12331,Women Black Heels Sandal,4.2,Women,Flipkart,425,499,14.83,282,50,169,57,24,9,23,0,424.99830078125
11142,Women Black Bellies Bellies For Women  (Black),3.9,Women,Flipkart,304,1199,74.65,111,20,60,17,12,6,16,0,303.94648437499995
10098,Slides,3.5,Men,Flipkart,238,999,76.18,63,7,34,1,5,10,13,0,237.961796875
18632,Boots For Women  (Black),4.3,Women,Flipkart,397,999,60.26,2347,390,1529,376,188,85,169,0,397.00261718750005
10045,Jalsa Nagra Jutti Mojaris For Men Mojaris For Men  (Black),4.0,Men,Flipkart,350,499,29.86,698,82,367,134,92,39,66,0,349.99859375
10957,Slip On Sneakers For Women  (Pink),4.0,Women,Flipkart,995,1990,50.0,23,5,11,6,3,0,3,1,995.0
5582,Mojaris For Men  (Black),3.7,Men,Flipkart,499,600,16.83,13,1,7,2,0,1,3,0,499.02
13874,Slides,4.0,Men,Flipkart,924,1799,48.64,118,9,61,22,17,8,10,1,923.96640625
1038,Espadrilles For Men  (White),2.3,Men,Flipkart,569,1599,64.42,3,0,1,0,0,0,2,1,568.9242187499999
13909,Running Shoes For Women  (Purple),4.2,Women,Flipkart,3900,6495,39.95,13,1,7,4,1,0,1,1,3900.2475
2157,JALSA Mojaris For Men  (Black),3.7,Men,Flipkart,499,1999,75.04,25,6,12,4,3,2,4,0,498.9503125000001
5904,Combo Pack of Casual Shoes Loafers For Women  (Multicolor),3.8,Women,Flipkart,442,998,55.71,2687,405,1154,596,447,203,273,1,442.01421875000005
15464,Epic Toss V1 IDP Flip Flops,4.4,Men,Flipkart,489,699,30.04,248,23,154,53,29,5,7,1,489.020390625
3489,Casual Sneakers Shoes For Men Sneakers For Men  (Green),3.8,Men,Flipkart,599,999,40.04,311,47,170,30,40,24,47,1,599.000390625
2767,Ace Slip-On Running Shoes For Men  (Black),4.3,,Flipkart,2999,4999,40.01,,,46,27,5,1,5,1,2998.90015625
353,Women Black Heels Sandal,4.1,Women,Flipkart,704,858,38.04,620,102,245,37,38,31,57,1,531.616796875
20302,X Xiota Women Laceup Casual Shoe,3.4,Women,Amazon,488,488,0.0,5,2,23,23,0,0,54,0,488.0
9390,Women Black Bellies Sandal,3.8,Women,Flipkart,279,499,44.09,309,55,126,84,37,18,42,0,278.9908984375
4235,Jutis For Women (Pink) Casuals For Women  (Pink),4.0,Women,Flipkart,199,499,60.12,53,7,31,9,6,4,5,0,199.0012109375
964,"Women Red, Black Sports Sandal",4.8,Women,Flipkart,551,1400,56.2,19,3,9,1,3,1,1,0,613.2
9457,Women Black Flats Sandal,4.1,Women,Flipkart,499,899,44.49,2132,284,1114,495,266,101,153,1,499.0348828125
15101,Slides,3.8,Women,Flipkart,479,599,20.03,20,1,8,5,5,0,2,1,479.02029296875
14137,Women Grey Wedges Sandal,4.2,Women,Flipkart,449,999,55.06,620,91,347,132,74,27,40,1,448.9505859375
1852,Downshifter 10 Running Shoes For Men  (Blue),4.3,Men,Flipkart,2797,3995,29.99,977,144,608,216,59,29,65,1,2796.89953125
17065,Women Black Wedges Sandal,4.1,Women,Flipkart,453,999,54.65,181,27,101,40,14,11,15,1,453.046484375
11300,Running Shoes For Men  (White),4.2,Men,Flipkart,1349,2699,50.02,15844,2084,8679,4049,1497,538,1081,1,1348.96015625
17670,Women Casual & Running Shoes Combo Pack of 2 Casuals For Women  (Multicolor),4.0,Women,Flipkart,569,798,28.7,2185,346,1047,535,293,117,193,1,568.973984375
10829,Women Yellow Heels Sandal,4.0,Women,Flipkart,403,999,59.66,2797,388,1361,672,391,154,219,0,402.9966015625
4059,"Walking Shoes,Gym Shoes,Knit Sports Shoes,Training Shoes,Sports Shoes, Running Shoes,Casual Shoes Running Shoes For Men  (Green, Grey)",4.1,Men,Flipkart,497,599,17.03,31709,4593,16870,7710,3679,1298,2152,1,496.99029296875
16618,FUZOR B Running Shoes For Men  (Black),4.2,,Flipkart,2165,3799,43.01,,,,,114,38,73,1,2165.0501562500003
12868,Jutis For Women  (Bronze),3.6,Women,Flipkart,168,499,66.33,41,3,20,5,3,7,6,0,168.01328124999998
12816,Girls Stylish Casual Sports Shoe Sneakers For Women Sneakers For Women  (Pink),4.3,Women,Flipkart,655,999,34.43,18,6,13,2,1,0,2,0,655.044296875
8009,Women Pink Heels Sandal,3.8,Women,Flipkart,399,599,33.39,8050,1191,3528,1847,1161,539,979,0,398.99390625
18376,Women Multicolor Wedges Sandal,4.0,Women,Flipkart,597,799,25.28,36,4,19,8,4,3,4,1,597.01279296875
9467,Women Multicolor Sports Sandal,4.1,Women,Flipkart,437,625,30.08,114,10,62,26,10,4,12,0,437.0
13659,Slides,4.6,Women,Flipkart,569,999,43.04,145,20,107,25,6,1,5,0,569.030390625
13535,Running Shoes For Men  (Black),3.6,Men,Flipkart,399,999,60.06,1638,153,804,179,176,166,313,1,399.0005859375
19619,Bellies For Women  (Pink),4.3,Women,Flipkart,332,999,66.77,81,22,47,18,6,4,4,1,331.96773437499996
9718,Flip Flops,4.8,Women,Flipkart,449,2397,81.27,12,1,10,1,1,0,0,1,448.9581250000001
6921,Latest Collection For Women And Girls Bellies For Women  (Multicolor),3.4,Women,Flipkart,420,999,57.96,18,2,8,2,1,4,3,0,419.979609375
16318,Walking Shoes For Women  (White),4.4,Women,Flipkart,1259,4199,70.02,74,4,49,15,5,1,4,1,1258.8603125
16430,Unifactor M Running Shoes For Men  (White),4.2,Men,Flipkart,1814,3299,45.01,646,74,369,157,53,23,44,1,1814.12015625
2083,High Ankle Denim Boots For Womens And girls Boots For Women  (Blue),4.3,Women,Flipkart,499,999,50.05,2539,429,1619,470,205,84,161,1,499.0005078125
1868,Stylish Boots For Women  (Grey),4.0,Women,Flipkart,499,999,50.05,54,8,31,9,4,4,7,1,499.0005078125
4698,"LDS66 Walking Shoes For Women  (Green, Black)",4.3,Women,Flipkart,599,999,40.04,12,4,7,2,2,1,0,1,599.000390625
8129,ELISE Women's Sneakers,4.1,Women,Amazon,322,397,18.89,205,77,9,4,8,23,56,0,322.0067041015625
1823,Slippers,4.4,Women,Flipkart,599,1199,50.04,91,16,54,22,10,3,2,1,599.020390625
2868,Women Brown Wedges Sandal,4.0,Women,Flipkart,389,499,22.04,7414,1245,3753,1639,984,378,660,1,389.020390625
596,Ladies Multi Women Punjabi Jutti Casual Jutis For Women  (gold) Jutis For Women  (Gold),4.4,Women,Flipkart,1011,2092,50.03,8,2,5,2,3,7,2,0,1045.372421875
15055,Women Black Heels Sandal,3.6,Women,Flipkart,383,499,23.25,102,19,38,22,17,9,16,1,382.9825
2844,Partywear white ethnic mojaris/formal shoes for men Mojaris For Men  (White),3.8,Men,Flipkart,699,999,30.03,46,4,22,7,8,3,6,0,699.00029296875
18675,Loafers For Men  (Brown),3.9,Men,Flipkart,405,999,59.46,2432,329,1268,416,293,146,309,0,404.994609375
6296,Casuals For Men  (Black),4.1,Men,Flipkart,259,499,48.1,3594,500,1945,717,453,175,304,1,258.981015625
20667,Running Shoes For Women  (Pink),4.1,Women,Flipkart,571,999,42.84,760,119,401,187,87,38,46,1,571.0283984375001
17392,"New Tredy Stylish Girls Comfortable ,Lightweight, Fashionble ,Now Look ,Outdoor ,Ankle Length ,High heel, Walking, Running. Boot ,Shoe For Women /Girls/Ladies Boots For Women  (White)",4.2,Women,Flipkart,399,899,55.62,1526,262,933,263,142,66,122,0,398.9762109375
5364,TREAD LITE LUX LP Running Shoes For Men  (Black),4.2,Men,Flipkart,1047,2299,54.46,1215,176,651,345,113,36,70,1,1046.964609375
5192,SK LIGHTER Men's Training Shoes,3.2,Men,Amazon,349,399,12.53,44,12,18,15,21,18,28,0,349.005302734375
7377,Walking Shoes For Women  (White),4.1,Women,Flipkart,699,1699,58.86,4324,637,2393,893,489,219,332,1,698.96859375
15103,Men Multicolor Sandal,4.1,Men,Flipkart,569,599,5.01,3142,482,1573,905,374,130,160,1,568.99009765625
16701,Colourblocked Trending Multicolor Ultralight canvas Sport/ Training Lace-up Morning / Evening walk Dating Running Shoes For Men  (Multicolor),3.9,Men,Flipkart,426,1399,69.55,3569,611,1954,567,386,205,457,1,425.99546875
15107,Smart Buckle Boots For Women  (Black),4.3,Women,Flipkart,540,1299,58.43,553,74,338,117,48,11,39,0,539.994296875
149,"Latest Collection, Comfortable & Fashionable Bellies for Women's and Girl's Pack of 1 Bellies For Women  (Blue)",4.0,Women,Flipkart,329,400,50.1,403,58,163,86,47,19,40,0,199.6
15117,Women Off White Wedges Sandal,3.8,Women,Flipkart,437,999,56.26,,2,,,5,1,0,0,436.9626171875
6809,Mens Ethnic Golden Fabric Jutti Mojaris For Men  (Gold),3.4,Men,Flipkart,399,499,20.04,44,3,16,6,10,4,8,0,399.000390625
10023,Super 445 Fashion Sneakers For Men  (Navy),4.6,Men,Flipkart,369,499,26.05,15,1,10,4,1,0,0,1,369.0105078125
19637,Women's Rajasthani Jutis For Women  (Multicolor),4.2,Women,Flipkart,220,499,55.91,26,2,17,3,2,1,3,0,220.0091015625
6355,Flip Flops,4.1,Women,Flipkart,299,599,50.08,41,9,19,13,5,3,1,1,299.02078125
14442,Strider v1 Slip-On Running Shoes For Men  (Grey),4.4,Men,Flipkart,2699,4499,40.01,156,19,101,32,9,5,9,1,2698.95015625
20616,Tropical Run Lp Running Shoe For Women  (Blue),4.3,Women,Flipkart,1233,2999,58.89,353,48,209,95,26,11,13,1,1232.88890625
13567,Jutis For Men  (Brown),5.0,Men,Flipkart,449,749,40.05,3,1,3,0,0,0,0,0,449.0255078125
16893,Traditional Leather Punjabi Mojaris / Juttis Mojaris For Men  (Black),4.8,Men,Flipkart,569,1499,62.04,19,1,16,2,1,0,0,0,569.020390625
17626,Slippers,4.0,Women,Flipkart,331,499,33.67,716,101,376,144,95,40,61,1,330.98671875
14481,EXPLORE Sneakers For Men  (Navy),4.1,Men,Flipkart,1689,1899,11.06,654,102,355,147,62,34,56,1,1688.9705859375
19646,"Men Black, Grey Casual Sandal",3.4,Men,Flipkart,284,999,71.57,7,3,1,3,2,0,1,0,284.01570312499996
17088,Women Black Wedges Sandal,4.3,Women,Flipkart,2025,4499,54.99,47,7,27,11,6,2,1,1,2024.9998437499999
9753,Women Grey Flats Sandal,4.1,Women,Flipkart,479,999,52.05,133,10,71,33,14,5,10,1,479.0205078125
14110,Men Black Sandal,3.7,Men,Flipkart,474,2199,78.44,3691,427,1577,813,535,264,502,0,474.1043749999999
16550,Perfect Stylish Casual Shoes Boots For Women   Boots For Women  (White),4.1,Women,Flipkart,475,999,52.45,788,122,427,150,102,50,59,0,475.02449218749996
5997,Cruxston Wn s IDP Training & Gym Shoes For Women  (Purple),4.0,Women,Flipkart,1049,3999,73.77,26,4,10,12,1,0,3,1,1048.9378124999998
5705,Boots For Women  (Blue),4.3,Women,Flipkart,499,999,50.05,180,34,109,42,17,6,6,1,499.0005078125
9483,Women Red Wedges Sandal,3.9,Women,Flipkart,599,999,40.04,49,7,26,7,6,4,6,1,599.000390625
6184,Boots For Women  (Black),3.8,Women,Flipkart,469,999,53.05,38,7,14,13,3,5,3,0,469.0305078125
6365,Women Beige Wedges Sandal,3.8,Women,Flipkart,449,549,18.21,6,0,3,1,0,2,0,0,449.027109375
1357,Jutis For Women  (Pink),4.0,Women,Flipkart,199,699,71.53,50,5,24,13,7,1,4,0,199.0053125
6043,Stylish Casual Partywear High Ankle Girls Boots Boots For Women  (Black),4.2,Women,Flipkart,499,999,50.05,89,22,47,18,12,4,5,0,499.0005078125
1689,Women Red Heels Sandal,4.4,Women,Flipkart,704,1299,45.8,333,59,205,80,29,5,14,1,704.0580078125
974,Victriox M Running Shoes For Men  (Blue),4.1,Men,Flipkart,1904,4022,50.01,1387,151,1225,522,28,116,69,1,2010.5978125
5663,Women Beige Bellies Sandal,4.4,Women,Flipkart,474,999,52.55,100,21,59,25,7,1,4,0,474.0255078125
19909,Slippers,4.1,Women,Flipkart,319,499,36.07,1162,133,604,297,128,52,81,1,319.01070312499996
